1	n-m	awb	ʼâb	heb	- אָב	a primitive word;		◊meaning:	- def: father	- ', in a literal and immediate, or figurative and remote application'	usage: chief, (fore-) father(-less), × patrimony, principal. Compare names in	  'Abi-'.																																						
2	n-m	ab	ʼab	arc	- אַב	- (Aramaic) corresponding to	  - '@src': H1	  - '1'	usage: father.																																									
7651	n	sheh'-bah	shebaʻ	heb	- שֶׁבַע	- or (masculine) (	  - '@pron': shibaw'	  - '@xlit': shibʻâh	  - שִׁבְעָה	- ); from	- w:	  - '@src': H7650	  - '7650'	- ; a primitive cardinal number;	◊meaning:	- def: seven	- (as the sacred	- def: full	- one); also (adverbially)	- def: seven times	- ; by implication, a	- def: week	- ; by extension, an	- def: indefinite	- number	usage:	- (  by) seven(-fold),-s, (-teen, -teenth), -th, times). Compare	- w:	  - '@src': H7658	  - '7658'	- .																			
7652	n-pr-m n-pr-loc	sheh'-bah	shebaʻ	x-pn	- שֶׁבַע	- the same as	  - '@src': H7651	  - '7651'	- ;	- def: seven	- ;	◊meaning:	- def: Sheba	- ', the name of a place in Palestine, and of two Israelites'	usage: Sheba.																																			
7653	n-f	sib-aw'	sibʻâh	heb	- שִׂבְעָה	- feminine of	  - '@src': H7647	  - '7647'	- ;	◊meaning:	  def: satiety	usage: fulness.																																						
7654	n-f	sob-aw'	sobʻâh	heb	- שׇׂבְעָה	- feminine of	  - '@src': H7648	  - '7648'	- ;	◊meaning:	  def: satiety	usage: (to have) enough, × till...be full, (un-) satiable, satisfy, × sufficiently.																																						
7655	n-f	shib-aw'	shibʻâh	arc	- שִׁבְעָה	- (Aramaic) corresponding to	  - '@src': H7651	  - '7651'	usage: seven (times).																																									
7656	n-pr-loc	shib-aw'	Shibʻâh	x-pn	- שִׁבְעָה	- masculine of	  - '@src': H7651	  - '7651'	- ; seven(-th);	◊meaning:	- def: Shebah	- ', a well in Palestine'	usage: Shebah.																																					
7657	n	shib-eem'	shibʻîym	heb	- שִׁבְעִים	- multiple of	  - '@src': H7651	  - '7651'	- ;	◊meaning:	  def: seventy	usage: seventy, threescore and ten (  -teen).																																						
7658	n	shib-aw-naw'	shibʻânâh	heb	- שִׁבְעָנָה	- prolonged for the masculine of	  - '@src': H7651	  - '7651'	- ;	◊meaning:	  def: seven	usage: seven.																																						
7659	n-f	shib-aw-thah'-yim	shibʻâthayim	heb	- שִׁבְעָתַיִם	- dual (adverbially) of	  - '@src': H7651	  - '7651'	- ;	◊meaning:	  def: seven-times	usage: seven(-fold, times).																																						
7660	v	shaw-bats'	shâbats	heb	- שָׁבַץ	a primitive root;		◊meaning:	- to	- def: interweave	- (colored) threads in squares; by implication (	- def: of reticulation	- ) to	- def: inchase	- gems in gold	usage: embroider, set.																																		
7661	n-m	shaw-bawts'	shâbâts	heb	- שָׁבָץ	- from	  - '@src': H7660	  - '7660'	- ;	◊meaning:	- def: entanglement	- ', i.e. (figuratively)'	- def: perplexity	usage: anguish.																																				
7662	v	sheb-ak'	shᵉbaq	arc	- שְׁבַק	- (Aramaic) corresponding to the root of	  - '@src': H7733	  - '7733'	- ;	◊meaning:	- to	- def: quit	- ', i.e.'	- def: allow to remain	usage: leave, let alone.																																			
7663	v	saw-bar'	sâbar	heb	- שָׂבַר	- erroneously	  - '@pron': shaw-bar'	  - '@xlit': shâbar	  - שָׁבַר	- ; (Nehemiah 2:13,15), a primitive root;	◊meaning:	- to	- def: scrutinize	- ; by implication (of watching) to	- def: expect	- (with hope and patience)	usage: hope, tarry, view, wait.																																	
7664	n-m	say'-ber	sêber	heb	- שֵׂבֶר	- from	  - '@src': H7663	  - '7663'	- ;	◊meaning:	  def: expectation	usage: hope.																																						
7665	v	shaw-bar'	shâbar	heb	- שָׁבַר	a primitive root;		◊meaning:	- to	- def: burst	- (literally or figuratively)	usage:	- break (down, off, in pieces, up), broken (-hearted), bring to the birth, crush,	  destroy, hurt, quench, × quite, tear, view (by mistake for	- w:	  - '@src': H7663	  - '7663'	- ).																																
7666	v	shaw-bar'	shâbar	heb	- שָׁבַר	- denominative from	  - '@src': H7668	  - '7668'	- ;	◊meaning:	- to	- def: deal	- in grain	usage: buy, sell.																																				
7667	n-m	sheh'-ber	sheber	heb	- שֶׁבֶר	- or	  - '@pron': shay'-ber	  - '@xlit': shêber	  - שֵׁבֶר	- ; from	- w:	  - '@src': H7665	  - '7665'	- ;	◊meaning:	- a	- def: fracture	- ', figuratively,'	- def: ruin	- ; specifically, a	- def: solution	- (of a dream)	usage: affliction, breach, breaking, broken(-footed, -handed), bruise, crashing,	  destruction, hurt, interpretation, vexation.																										
7668	n-m	sheh'-ber	sheber	heb	- שֶׁבֶר	- the same as	  - '@src': H7667	  - '7667'	- ;	◊meaning:	- def: grain	- (as if broken into kernels)	usage: corn, victuals.																																					
7669	n-pr-m	sheh'-ber	Sheber	x-pn	- שֶׁבֶר	- the same as	  - '@src': H7667	  - '7667'	- ;	◊meaning:	- def: Sheber	- ', an Israelite'	usage: Sheber.																																					
7670	n-m	shib-rone'	shibrôwn	heb	- שִׁבְרוֹן	- from	  - '@src': H7665	  - '7665'	- ;	◊meaning:	- def: rupture	- ', i.e. a'	- def: pang	- ; figuratively,	- def: ruin	usage: breaking, destruction.																																		
7671	n-pr-loc	sheb-aw-reem'	Shᵉbârîym	x-pn	- שְׁבָרִים	- plural of	  - '@src': H7667	  - '7667'	- ;	- def: ruins	- ;	◊meaning:	- def: Shebarim	- ', a place in Palestine'	usage: Shebarim.																																			
7672	v	sheb-ash'	shᵉbash	arc	- שְׁבַשׁ	- (Aramaic) corresponding to	  - '@src': H7660	  - '7660'	- ;	◊meaning:	- to	- def: entangle	- ', i.e.'	- def: perplex	usage: be astonished.																																			
7673	v	shaw-bath'	shâbath	heb	- שָׁבַת	a primitive root;		◊meaning:	- to	- def: repose	- ', i.e.'	- def: desist from exertion	- ; used in many implied relations (causative, figurative or specific)	usage: (cause to, let, make to) cease, celebrate, cause (make) to fail, keep (sabbath),	  suffer to be lacking, leave, put away (down), (make to) rest, rid, still, take	  away.																																		
7674	n-f	sheh'-beth	shebeth	heb	- שֶׁבֶת	- from	  - '@src': H7673	  - '7673'	- ;	◊meaning:	- def: rest	- ','	- def: interruption	- ','	- def: cessation	usage: cease, sit still, loss of time.																																		
7675	n-f	sheh'-beth	shebeth	heb	- שֶׁבֶת	- infinitive of	  - '@src': H3427	  - '3427'	- ;	◊meaning:	- properly,	- def: session	- ; but used also concretely, an	- def: abode	- or	- def: locality	usage:	- place, seat. Compare	- w:	  - '@src': H3429	  - '3429'	- .																												
7676	n	shab-bawth'	shabbâth	heb	- שַׁבָּת	- intensive from	  - '@src': H7673	  - '7673'	- ;	◊meaning:	- def: intermission	- ', i.e (specifically) the'	- def: Sabbath	usage: (  every) sabbath.																																				
7677	n-m	shab-baw-thone'	shabbâthôwn	heb	- שַׁבָּתוֹן	- from	  - '@src': H7676	  - '7676'	- ;	◊meaning:	- a	- def: sabbatism	- or special holiday	usage: rest, sabbath.																																				
7678	n-pr-m	shab-beth-ah'-ee	Shabbᵉthay	x-pn	- שַׁבְּתַי	- from	  - '@src': H7676	  - '7676'	- ;	- def: restful	- ;	◊meaning:	- def: Shabbethai	- ', the name of three Israelites'	usage: Shabbethai.																																			
7679	v	saw-gaw'	sâgâʼ	heb	- שָׂגָא	; a primitive root;		◊meaning:	- def: to grow	- ', i.e. (causatively)'	- def: to enlarge	- ', (figuratively)'	- def: laud	usage: increase, magnify.																																				
7680	v	seg-aw'	sᵉgâʼ	arc	- שְׂגָא	- (Aramaic) corresponding to	  - '@src': H7679	  - '7679'	- ;	◊meaning:	- to	- def: increase	usage: grow, be multiplied.																																					
7681	n-pr-m	shaw-gay'	Shâgeʼ	x-pn	- שָׁגֶא	- probably from	  - '@src': H7686	  - '7686'	- ;	- def: erring	- ;	◊meaning:	- def: Shage	- ', an Israelite'	usage: Shage.																																			
7682	v	saw-gab'	sâgab	heb	- שָׂגַב	a primitive root;		◊meaning:	- to	- def: be	- (causatively,	- def: make	- )	- def: lofty	- ', especially'	- def: inaccessible	- ; by implication,	- def: safe	- ','	- def: strong	- ; used literally and figuratively	usage: defend, exalt, be excellent, (be, set on) high, lofty, be safe, set up	  (on high), be too strong.																											
7683	v	shaw-gag'	shâgag	heb	- שָׁגַג	a primitive root;		◊meaning:	- to	- def: stray	- ', i.e. (figuratively)'	- def: sin	- (with more or less apology)	usage: × also for that, deceived, err, go astray, sin ignorantly.																																				
7684	n-f	sheg-aw-gaw'	shᵉgâgâh	heb	- שְׁגָגָה	- from	  - '@src': H7683	  - '7683'	- ;	◊meaning:	- a	- def: mistake	- or inadvertent	- def: transgression	usage: error, ignorance, at unawares; unwittingly.																																			
7685	v	saw-gaw'	sâgâh	heb	- שָׂגָה	a primitive root;		◊meaning:	- to	- def: enlarge	- (especially upward, also figuratively)	usage: grow (up), increase.																																						
7686	v	shaw-gaw'	shâgâh	heb	- שָׁגָה	a primitive root;		◊meaning:	- to	- def: stray	- (causatively,	- def: mislead	- ), usually (figuratively) to	- def: mistake	- ', especially (morally) to'	- def: transgress	- ; by extension (through the idea of intoxication)	- def: to reel	- ', (figuratively)'	- def: be enraptured	usage: (cause to) go astray, deceive, err, be ravished, sin through ignorance,	  (let, make to) wander.																												
7687	n-pr-m	seg-oob'	Sᵉgûwb	x-pn	- שְׂגוּב	- from	  - '@src': H7682	  - '7682'	- ;	- def: aloft	- ;	◊meaning:	- def: Segub	- ', the name of two Israelites'	usage: Segub.																																			
7688	v	shaw-gakh'	shâgach	heb	- שָׁגַח	a primitive root;		◊meaning:	- to	- def: peep	- ', i.e.'	- def: glance	- sharply at	usage: look (narrowly).																																				
7689	a	sag-ghee'	saggîyʼ	heb	- שַׂגִּיא	- from	  - '@src': H7679	  - '7679'	- ;	◊meaning:	- (superlatively)	- def: mighty	usage: excellent, great.																																					
7690	a	sag-ghee'	saggîyʼ	arc	- שַׂגִּיא	- (Aramaic) corresponding to	  - '@src': H7689	  - '7689'	- ;	◊meaning:	- def: large	- (in size, quantity or number, also adverbial)	usage: exceeding, great(-ly); many, much, sore, very.																																					
7691	n-f	sheg-ee-aw'	shᵉgîyʼâh	heb	- שְׁגִיאָה	- from	  - '@src': H7686	  - '7686'	- ;	◊meaning:	- a	- def: moral mistake	usage: error.																																					
7692	n-pr-m	shig-gaw-yone'	shiggâyôwn	heb	- שִׁגָּיוֹן	- or	  - '@pron': shig-gaw-yo-naw'	  - '@xlit': shiggâyônâh	  - שִׁגָּיֹנָה	- ; from	- w:	  - '@src': H7686	  - '7686'	- ;	◊meaning:	- properly,	- def: aberration	- ', i.e. (technically) a'	- def: dithyramb	- or	- def: rambling poem	usage: Shiggaion, Shigionoth.																												
7693	v	shaw-gal'	shâgal	heb	- שָׁגַל	a primitive root;		◊meaning:	- to	- def: copulate	- with	usage: lie with, ravish.																																						
7694	n-f	shay-gawl'	shêgâl	heb	- שֵׁגָל	- from	  - '@src': H7693	  - '7693'	- ;	◊meaning:	- a	- def: queen	- (from cohabitation)	usage: queen.																																				
7695	n-f	shay-gawl'	shêgâl	arc	- שֵׁגָל	- (Aramaic) corresponding to	  - '@src': H7694	  - '7694'	- ;	◊meaning:	- a (legitimate)	- def: queen	usage: wife.																																					
7696	v	shaw-gah'	shâgaʻ	heb	- שָׁגַע	a primitive root;		◊meaning:	- to	- def: rave through insanity	usage: (be, play the) mad (man).																																							
7697	n-m	shig-gaw-yone'	shiggâʻôwn	heb	- שִׁגָּעוֹן	- from	  - '@src': H7696	  - '7696'	- ;	◊meaning:	  def: craziness	usage: furiously, madness.																																						
7698	n-f	sheh'-ger	sheger	heb	- שֶׁגֶר	- from an unused root probably ◊meaning to	- ;	◊meaning:	- the	- def: fœtus	- (as finally	- def: expelled	- )	usage: that cometh of, increase.																																				
7699	n-m	shad	shad	heb	- שַׁד	- or	  - '@pron': shode	  - '@xlit': shôd	  - שֹׁד	- ; probably from	- w:	  - '@src': H7736	  - '7736'	- (in its original sense) contracted;	◊meaning:	- the	- def: breast of a woman	- or	- def: animal	- (as bulging)	usage: breast, pap, teat.																													
7700	n-m	shade	shêd	heb	- שֵׁד	- from	  - '@src': H7736	  - '7736'	- ;	◊meaning:	- a	- def: dæmon	- (as	- def: malignant	- )	usage: devil.																																		
7701	n-m	shode	shôd	heb	- שֹׁד	- or	  - '@pron': shode	  - '@xlit': shôwd	  - שׁוֹד	- ; (Job 5:21), from	- w:	  - '@src': H7736	  - '7736'	- ;	◊meaning:	- def: violence	- ','	- def: ravage	usage: desolation, destruction, oppression, robbery, spoil(-ed, -er, -ing), wasting.																															
7702	v	saw-dad'	sâdad	heb	- שָׂדַד	a primitive root;		◊meaning:	- to	- def: abrade	- ', i.e.'	- def: harrow	- a field	usage: break clods, harrow.																																				
7703	v	shaw-dad'	shâdad	heb	- שָׁדַד	a primitive root;		◊meaning:	- properly, to	- def: be burly	- ', i.e. (figuratively)'	- def: powerful	- (passively,	- def: impregnable	- ); by implication, to	- def: ravage	usage: dead, destroy(-er), oppress, robber, spoil(-er), × utterly, (lay) waste.																																	
7704	n-m	saw-deh'	sâdeh	heb	- שָׂדֶה	- or	  - '@pron': saw-dah'-ee	  - '@xlit': sâday	  - שָׂדַי	- ; from an unused root ◊meaning to spread out;	◊meaning:	- a	- def: field	- (as flat)	usage: country, field, ground, land, soil, × wild.																																			
7705	n-f	shid-dah'	shiddâh	heb	- שִׁדָּה	- from	  - '@src': H7703	  - '7703'	- ;	◊meaning:	- a	- def: wife	- (as	- def: mistress	- of the house)	usage: × all sorts, musical instrument.																																		
7706	n-m	shad-dah'-ee	Shadday	heb	- שַׁדַּי	- from	  - '@src': H7703	  - '7703'	- ;	◊meaning:	- the	- def: Almighty	usage: Almighty.																																					
7707	n-pr-m	shed-ay-oor'	Shᵉdêyʼûwr	x-pn	- שְׁדֵיאוּר	- from the same as	  - '@src': H7704	  - '7704'	- and	- w:	  - '@src': H217	  - '217'	- ;	- def: spreader of light	- ;	◊meaning:	- def: Shedejur	- ', an Israelite'	usage: Shedeur.																															
7708	n-pr-loc	sid-deem'	Siddîym	x-pn	- שִׂדִּים	- plural from the same as	  - '@src': H7704	  - '7704'	- ;	- def: flats	- ;	◊meaning:	- def: Siddim	- ', a valley in Palestine'	usage: Siddim.																																			
7709	n-f	shed-ay-maw'	shᵉdêmâh	heb	- שְׁדֵמָה	- apparently from	  - '@src': H7704	  - '7704'	- ;	◊meaning:	- a cultivated	- def: field	usage: blasted, field.																																					
7710	v	shaw-daf'	shâdaph	heb	- שָׁדַף	a primitive root;		◊meaning:	- to	- def: scorch	usage: blast.																																							
7711	n-f n-m	shed-ay-faw'	shᵉdêphâh	heb	- שְׁדֵפָה	- or	  - '@pron': shid-daw-fone'	  - '@xlit': shiddâphôwn	  - שִׁדָּפוֹן	- ; from	- w:	  - '@src': H7710	  - '7710'	- ;	◊meaning:	  def: blight	usage: blasted(-ing).																																	
7712	v	shed-ar'	shᵉdar	arc	- שְׁדַר	(Aramaic) a primitive root;		◊meaning:	- to	- def: endeavor	usage: labour.																																							
7713	n-f	sed-ay-raw'	sᵉdêrâh	heb	- שְׂדֵרָה	from an unused root ◊meaning to regulate;		◊meaning:	- a	- def: row	- ', i.e.'	- def: rank	- (of soldiers),	- def: story	- (of rooms)	usage: board, range.																																		
7714	n-pr-m	shad-rak'	Shadrak	x-pn	- שַׁדְרַךְ	probably of foreign origin;		◊meaning:	- def: Shadrak	- ', the Babylonian name of one of Daniel''s companions'	usage: Shadrach.																																							
7715	n-pr-m	shad-rak'	Shadrak	arc	- שַׁדְרַךְ	- (Aramaic) the same as	  - '@src': H7714	  - '7714'	usage: Shadrach.																																									
7716	n-m	seh	seh	heb	- שֶׂה	- or	  - '@pron': say	  - '@xlit': sêy	  - שֵׂי	- ; probably from	- w:	  - '@src': H7582	  - '7582'	- through the idea of	- def: pushing	- out to graze;	◊meaning:	- a member of a flock, i.e. a	- def: sheep	- or	- def: goat	usage:	- (lesser, small) cattle, ewe, goat, lamb, sheep. Compare	- w:	  - '@src': H2089	  - '2089'	- .																							
7717	n-m	saw-hade'	sâhêd	heb	- שָׂהֵד	- from an unused root ◊meaning to	- ;	◊meaning:	- a	- def: witness	usage: record.																																							
7718	n-m	sho'-ham	shôham	heb	- שֹׁהַם	from an unused root probably mean to blanch;		◊meaning:	- a	- def: gem	- ', probably the'	- def: beryl	- (from its pale green color)	usage: onyx.																																				
7719	n-pr-m	sho'-ham	Shôham	x-pn	- שֹׁהַם	- the same as	  - '@src': H7718	  - '7718'	- ;	◊meaning:	- def: Shoham	- ', an Israelite'	usage: Shoham.																																					
7720	n-m	sah-har-one'	sahărôn	heb	- שַׂהֲרֹן	- from the same as	  - '@src': H5469	  - '5469'	- ;	◊meaning:	- a round	- def: pendant	- for the neck	usage: ornament, round tire like the moon.																																				
7721	v	so	sôwʼ	heb	- שׂוֹא	- from an unused root (akin to	  - '@src': H5375	  - '5375'	- and	- w:	  - '@src': H7722	  - '7722'	- ) ◊meaning to	- def: rise	- ;	◊meaning:	- a	- def: rising	usage: arise.																															
7722	n-m n-f	sho	shôwʼ	heb	- שׁוֹא	- or (feminine)	  - '@pron': sho-aw'	  - '@xlit': shôwʼâh	  - שׁוֹאָה	- ; or	- w:	  - '@pron': sho-aw'	  - '@xlit': shôʼâh	  - שֹׁאָה	- ; from an unused root ◊meaning to rush over;	◊meaning:	- a	- def: tempest	- ; by implication,	- def: devastation	usage: desolate(-ion), destroy, destruction, storm, wasteness.																													
7723	n-m	shawv	shâvᵉʼ	heb	- שָׁוְא	- or	  - '@pron': shav	  - '@xlit': shav	  - שַׁו	- ; from the same as	- w:	  - '@src': H7722	  - '7722'	- in the sense of	- def: desolating	- ;	◊meaning:	- def: evil	- (as	- def: destructive	- ), literally (	- def: ruin	- ) or morally (especially	- def: guile	- ); figuratively	- def: idolatry	- (as false, subjective),	- def: uselessness	- (as deceptive, objective; also adverbially, in	- def: vain	- )	usage: false(-ly), lie, lying, vain, vanity.																		
7724	n-pr-m	shev-aw'	Shᵉvâʼ	x-pn	- שְׁוָא	- from the same as	  - '@src': H7723	  - '7723'	- ;	- def: 'false'	- ;	◊meaning:	- def: Sheva	- ', an Israelite'	usage: Sheva.																																			
7725	v	shoob	shûwb	heb	- שׁוּב	a primitive root;		◊meaning:	- to	- def: turn	- back (hence, away) transitively or intransitively, literally or figuratively	  (not necessarily with the idea of	- def: return	- to the starting point); generally to	- def: retreat	- ; often adverbial,	- def: again	usage: ((break, build, circumcise, dig, do anything, do evil, feed, lay down,	  lie down, lodge, make, rejoice, send, take, weep)) × again, (cause to) answer	  (  again), × in any case (wise), × at all, averse, bring (again, back, home	  again), call (to mind), carry again (back), cease, × certainly, come again (back),	  × consider,   continually, convert, deliver (again),   deny, draw back, fetch	  home again, × fro, get (oneself) (back) again, × give (again), go again (back,	  home), (go) out, hinder, let, (see) more, × needs, be past, × pay, pervert,	  pull in again, put (again, up again), recall, recompense, recover, refresh,	  relieve, render (again), requite, rescue, restore, retrieve, (cause to, make	  to) return, reverse, reward,   say nay, send back, set again, slide back, still,	  × surely, take back (off), (cause to, make to) turn (again, self again, away,	  back, back again, backward, from, off), withdraw.																					
7726	a	sho-bawb'	shôwbâb	heb	- שׁוֹבָב	- from	  - '@src': H7725	  - '7725'	- ;	◊meaning:	- def: apostate	- ', i.e. idolatrous'	usage: backsliding, frowardly, turn away (from margin).																																					
7727	n-pr-m	sho-bawb'	Shôwbâb	x-pn	- שׁוֹבָב	- the same as	  - '@src': H7726	  - '7726'	- ;	- def: rebellious	- ;	◊meaning:	- def: Shobab	- ', the name of two Israelites'	usage: Shobab.																																			
7728	a	sho-babe'	shôwbêb	heb	- שׁוֹבֵב	- from	  - '@src': H7725	  - '7725'	- ;	◊meaning:	- def: apostate	- ', i.e.'	- def: heathenish	- or (actually)	- def: heathen	usage: backsliding.																																		
7729	n-f	shoo-baw'	shûwbâh	heb	- שׁוּבָה	- from	  - '@src': H7725	  - '7725'	- ;	◊meaning:	- a	- def: return	usage: returning.																																					
7730	n-m	so'-bek	sôwbek	heb	- שׂוֹבֶךְ	- for	  - '@src': H5441	  - '5441'	- ;	◊meaning:	- a	- def: thicket	- ', i.e.'	- def: interlaced branches	usage: thick boughs.																																			
7731	n-pr-m	sho-bawk'	Shôwbâk	x-pn	- שׁוֹבָךְ	- perhaps for	  - '@src': H7730	  - '7730'	- ;	◊meaning:	- def: Shobak	- ', a Syrian'	usage: Shobach.																																					
7732	n-pr-m	sho-bawl'	Shôwbâl	x-pn	- שׁוֹבָל	- from the same as	  - '@src': H7640	  - '7640'	- ;	- def: overflowing	- ;	◊meaning:	- def: Shobal	- ', the name of an Edomite and two Israelites'	usage: Shobal.																																			
7733	n-pr-m	sho-bake'	Shôwbêq	x-pn	- שׁוֹבֵק	- active participle from a primitive root ◊meaning to leave (compare	  - '@src': H7662	  - '7662'	- );	- def: forsaking	- ;	◊meaning:	- def: Shobek	- ', an Israelite'	usage: Shobek.																																			
7734	v	soog	sûwg	heb	- שׂוּג	a primitive root;		◊meaning:	- to	- def: retreat	usage: turn back.																																							
7735	v	soog	sûwg	heb	- שׂוּג	a primitive root;		◊meaning:	- to	- def: hedge	- in	usage: make to grow.																																						
7736	v	shood	shûwd	heb	- שׁוּד	a primitive root;		◊meaning:	- properly, to	- def: swell up	- ', i.e. figuratively (by implication of insolence) to'	- def: devastate	usage: waste.																																					
7737	v	shaw-vaw'	shâvâh	heb	- שָׁוָה	a primitive root;		◊meaning:	- properly, to	- def: level	- ', i.e.'	- def: equalize	- ; figuratively, to	- def: resemble	- ; by implication, to	- def: adjust	- (i.e. counterbalance, be suitable, compose, place, yield, etc.)	usage: avail, behave, bring forth, compare, countervail, (be, make) equal, lay,	  be (make, a-) like, make plain, profit, reckon.																															
7738	n-f	shaw-vaw'	shâvâh	heb	- שָׁוָה	a primitive root;		◊meaning:	  def: to destroy	usage: × substance (from the margin).																																								
7739	v	shev-aw'	shᵉvâh	arc	- שְׁוָה	- (Aramaic); corresponding to	  - '@src': H7737	  - '7737'	- ;	◊meaning:	- to	- def: resemble	usage: make like.																																					
7740	n-pr-loc	shaw-vay'	Shâvêh	x-pn	- שָׁוֵה	- from	  - '@src': H7737	  - '7737'	- ;	- def: plain	- ;	◊meaning:	- def: Shaveh	- ', a place in Palestine'	usage: Shaveh.																																			
7741	n-pr-m	shaw-vay' kir-yawthah'-yim	Shâvêh Qiryâthayim	x-pn	- שָׁוֵה קִרְיָתַיִם	- from the same as	  - '@src': H7740	  - '7740'	- and the dual of	- w:	  - '@src': H7151	  - '7151'	- ;	- def: plain of a double city	- ;	◊meaning:	- def: Shaveh-Kirjathajim	- ', a place East of the Jordan'	usage: Shaveh Kiriathaim.																															
7742	v	soo'-akh	sûwach	heb	- שׂוּחַ	a primitive root;		◊meaning:	- to	- def: muse pensively	usage: meditate.																																							
7743	v	shoo'-akh	shûwach	heb	- שׁוּחַ	a primitive root;		◊meaning:	- to	- def: sink	- ', literally or figuratively'	usage: bow down, incline, humble.																																						
7744	n-pr-m	shoo'-akh	Shûwach	x-pn	- שׁוּחַ	- from	  - '@src': H7743	  - '7743'	- ;	- def: dell	- ;	◊meaning:	- def: Shuach	- ', a son of Abraham'	usage: Shuah.																																			
7745	n-f	shoo-khaw'	shûwchâh	heb	- שׁוּחָה	- from	  - '@src': H7743	  - '7743'	- ;	◊meaning:	- a	- def: chasm	usage: ditch, pit.																																					
7746	n-pr-m	shoo-khaw'	Shûwchâh	x-pn	- שׁוּחָה	- the same as	  - '@src': H7745	  - '7745'	- ;	◊meaning:	- def: Shuchah	- ', an Israelite'	usage: Shuah.																																					
7747	a	shoo-khee'	Shûwchîy	x-pn	- שׁוּחִי	note: xlit Shûchîy corrected to Shûwchîy		source:	- patronymic from	- w:	  - '@src': H7744	  - '7744'	- ;	◊meaning:	- a	- def: Shuchite	- or descendant of Shuach	usage: Shuhite.																																
7748	n-pr-m	shoo-khawm'	Shûwchâm	x-pn	- שׁוּחָם	- from	  - '@src': H7743	  - '7743'	- ;	- def: humbly	- ;	◊meaning:	- def: Shucham	- ', an Israelite'	usage: Shuham.																																			
7749	a	shoo-khaw-mee'	Shûwchâmîy	x-pn	- שׁוּחָמִי	- patronymic from	  - '@src': H7748	  - '7748'	- ;	◊meaning:	- a	- def: Shuchamite	- (collectively)	usage: Shuhamites.																																				
7750	v	soot	sûwṭ	heb	- שׂוּט	- or (by permutation)	  - '@pron': soot	  - '@xlit': çûwṭ	  - סוּט	- ; a primitive root;	◊meaning:	- to	- def: detrude	- ', i.e. (intransitively and figuratively)'	- def: become derelict	- (wrongly practise; namely, idolatry)	usage: turn aside to.																																	
7751	v	shoot	shûwṭ	heb	- שׁוּט	a primitive root;		◊meaning:	- properly, to	- def: push forth	- ; (but used only figuratively) to	- def: lash	- ', i.e. (the sea with oars) to'	- def: row	- ; by implication, to	- def: travel	usage: go (about, through, to and fro), mariner, rower, run to and fro.																																	
7752	n-m	shote	shôwṭ	heb	- שׁוֹט	- from	  - '@src': H7751	  - '7751'	- ;	◊meaning:	- a	- def: lash	- (literally or figuratively)	usage: scourge, whip.																																				
7753	v	sook	sûwk	heb	- שׂוּךְ	a primitive root;		◊meaning:	- to	- def: entwine	- ', i.e.'	- def: shut in	- (for formation, protection or restraint)	usage: fence, (make an) hedge (up).																																				
7754	n-m n-f	soke	sôwk	heb	- שׂוֹךְ	- or (feminine)	  - '@pron': so-kaw'	  - '@xlit': sôwkâh	  - שׂוֹכָה	- ; from	- w:	  - '@src': H7753	  - '7753'	- ;	◊meaning:	- a	- def: branch	- (as interleaved)	usage: bough.																															
7755	n-pr-loc	so-ko'	Sôwkôh	x-pn	- שׂוֹכֹה	- or	  - '@pron': so-ko'	  - '@xlit': Sôkôh	  - שֹׂכֹה	- ; or	- w:	  - '@pron': so-ko'	  - '@xlit': Sôwkôw	  - שׂוֹכוֹ	- ; from	- w:	  - '@src': H7753	  - '7753'	- ;	◊meaning:	- def: Sokoh	- or	- def: Soko	- ', the name of two places in Palestine'	usage: Shocho, Shochoh, Sochoh, Soco, Socoh.																									
7756	a	soo-kaw-thee'	Sûwkâthîy	x-pn	- שׂוּכָתִי	- probably patronymic from a name corresponding to	  - '@src': H7754	  - '7754'	- (feminine);	◊meaning:	- a	- def: Sukathite	- or descendant of an unknown Israelite named Sukah	usage: Suchathite.																																				
7757	n-m	shool	shûwl	heb	- שׁוּל	- from an unused root ◊meaning to	- down;	◊meaning:	- a	- def: skirt	- ; by implication, a bottom	- def: edge	usage: hem, skirt, train.																																					
7758	a	sho-lawl'	shôwlâl	heb	- שׁוֹלָל	- or	  - '@pron': shay-lawl'	  - '@xlit': shêylâl	  - שֵׁילָל	- ; (Micah 1:8), from	- w:	  - '@src': H7997	  - '7997'	- ;	◊meaning:	- def: nude	- (especially bare-foot); by implication,	- def: captive	usage: spoiled, stripped.																															
7759	a	shoo-lam-meeth'	Shûwlammîyth	heb	- שׁוּלַמִּית	- from	  - '@src': H7999	  - '7999'	- ;	◊meaning:	- def: peaceful	- (with the article always prefixed, making it a pet name); the	- def: Shulammith	- ', an epithet of Solomon''s queen'	usage: Shulamite.																																			
7760	v	soom	sûwm	heb	- שׂוּם	- or	  - '@pron': seem	  - '@xlit': sîym	  - שִׂים	- ; a primitive root;	◊meaning:	- to	- def: put	- (used in a great variety of applications, literal, figurative, inferentially,	  and elliptically)	usage: × any wise, appoint, bring, call (a name), care, cast in, change, charge,	  commit, consider, convey, determine,   disguise, dispose, do, get, give, heap	  up, hold, impute, lay (down, up), leave, look, make (out), mark,   name, × on,	  ordain, order,   paint, place, preserve, purpose, put (on),   regard, rehearse,	  reward, (cause to) set (on, up), shew,   stedfastly, take, × tell,   tread down,	  (over-)turn, × wholly, work.																													
